TEMPLATE DATA BULANAN — PAN GUARD,,,,,,
Provinsi Lampung  |  Periode 2021 – 2025  |  n = 60 Observasi Bulanan,,,,,,
WAKTU,,VARIABEL INDEPENDEN (X),,,VARIABEL DEPENDEN (Y),
Tahun,Bulan,"Curah Hujan
(mm/bulan)","Suhu Rata-rata
(°C)","NTP
(Indeks)","Produksi Padi
(Ton)","Harga GKP
(Rp/Kg)"
2021,Januari,330,26.2,96.56,22386.69,"4,921.10"
,Februari,262,26.5,96.75,66451.59,"4,758.15"
,Maret,160,27.1,97.85,426947.66,"4,384.84"
,April,165,27.5,98.68,776113.08,"4,274.90"
,Mei,84,27.8,99.88,196837.74,"4,397.79"
,Juni,33,27.2,100.8,56319.08,"4,545.56"
,Juli,84,26.8,101.75,48663.32,"4,310.72"
,Agustus,84,27,102.91,146553.67,"4,448.05"
,September,157,27.1,103.4,354854.21,"4,548.23"
,Oktober,127,27.9,104.55,266651.64,"4,608.44"
,November,384,27.3,105.25,96786.64,"4,650.34"
,Desember,235,27.2,106.29,26887.46,"4,773.08"
2022,Januari,317,34.2,106.85,40450.48,"Rp5,381"
,Februari,183,34.4,108.02,113720.57,"Rp5,317"
,Maret,111,34.6,108.43,363907.14,"Rp5,240"
,April,121,35.2,107.61,654692.56,"Rp4,936"
,Mei,200,35,104.66,335397.08,"Rp4,625"
,Juni,114,34.2,104.49,89985.14,"Rp4,945"
,Juli,77,33.4,102.35,72731.9,"Rp4,971"
,Agustus,117,34.2,103.07,132444.26,"Rp5,033"
,September,66,34,101.54,393409.18,"Rp5,247"
,Oktober,212,34.4,101.6,304497.61,"Rp5,333"
,November,115,35,101.32,125143.87,"Rp5,404"
,Desember,216,33.6,102.19,61779.95,"Rp5,698"
2023,Januari,280,27.1,103.29,43.63,"Rp5,744"
,Februari,250,27.3,103.63,103.84,"Rp5,978"
,Maret,290,27.5,104.29,386.47,"Rp6,357"
,April,180,27.8,104.32,629.75,"Rp6,063"
,Mei,110,28.1,105.99,291.53,"Rp5,250"
,Juni,50,28.3,108.96,137.5,"Rp5,710"
,Juli,30,28.5,109.93,94.67,"Rp6,064"
,Agustus,15,28.9,110.96,215.62,"Rp6,893"
,September,20,29.2,113.45,426.92,"Rp7,312"
,Oktober,45,29,114.45,291.77,"Rp7,312"
,November,140,28.2,115.4,86.88,"Rp7,404"
,Desember,270,27.6,117.13,49.33,"Rp7,576"
2024,Januari,290,26.9,119.35,19.18,"8,118"
,Februari,260,27.1,122.02,29.03,"8,522.73"
,Maret,300,27.3,120.37,187,"7,958.62"
,April,220,27.5,119.32,563.1,"6,478.95"
,Mei,150,27.6,121.79,640.4,"5,958.93"
,Juni,100,27.4,126.56,143.5,"6,263.79"
,Juli,70,27.1,128.94,45.04,"6,565.63"
,Agustus,85,27.3,127.62,155.3,"7,102.86"
,September,130,27.6,129.58,443.4,"7,145.83"
,Oktober,180,27.9,128.47,394.2,"7,036.84"
,November,240,27.5,126.64,140,"7,058.33"
,Desember,315,27.1,129.01,30.75,"7,201.61"
2025,Januari,330,26.6,132.07,28.89,"Rp6,850"
,Februari,280,26.8,134.59,72.16,"Rp6,811"
,Maret,310,27,133.17,409.15,"Rp6,872"
,April,250,27.2,127.9,797.74,"Rp6,712"
,Mei,180,27.4,130.64,349.4,"Rp6,828"
,Juni,140,27.1,128.31,100.1,"Rp7,029"
,Juli,120,26.8,125.15,100.56,"Rp7,229"
,Agustus,150,27,125.41,334.91,"Rp7,399"
,September,190,27.2,127.62,583.47,"Rp7,342"
,Oktober,240,27.4,127.72,328.55,"Rp7,318"
,November,260,27.1,129.33,90.71,"Rp7,188"
,Desember,350,26.7,130.15,57,"Rp7,347"
